,entity_id,sc_name,family,genus,species,sub_sp,common_name,range_state,is_tropical,is_coniferous,flag
34395,34396,Acacia shirleyi,Leguminosae,Acacia,shirleyi,,lancewood,,,,0.0
38057,38058,Acacia somalensis,Leguminosae,Acacia,somalensis,,hinni;heni;cadaad hinni,,,,1.0
37446,37447,Acacia torrei,Leguminosae,Acacia,torrei,,,,,,0.0
34525,34526,Acacia trineura,Leguminosae,Acacia,trineura,,three-nerved wattle;green wattle,,,,0.0
34574,34575,Acacia ulicifolia,Leguminosae,Acacia,ulicifolia,,prickly moses;juniper wattle,,,,0.0
22497,22498,Acacia venosa,Leguminosae,Acacia,venosa,,,,,,1.0
21820,21821,Acacia villosa,Leguminosae,Acacia,villosa,,,,,,1.0
34388,34389,Acacia vincentii,Leguminosae,Acacia,vincentii,,,,,,0.0
34464,34465,Acacia viscidula,Leguminosae,Acacia,viscidula,,sticky wattle,,,,0.0
22461,22462,Acacia visco,Leguminosae,Acacia,visco,,viscote;visote;arca;visco,,,,0.0
20037,20038,Acacia zapatensis,Leguminosae,Acacia,zapatensis,,,,,,1.0
29046,29047,Acaena exigua,,Acaena,exigua,,liliwai,,,,1.0
29610,29611,Acalypha andina,,Acalypha,andina,,,,,,1.0
33599,33600,Acalypha cupricola,,Acalypha,cupricola,,,,,,1.0
29611,29612,Acalypha dictyoneura,,Acalypha,dictyoneura,,,,,,1.0
33600,33601,Acalypha dikuluwensis,,Acalypha,dikuluwensis,,,,,,1.0
29612,29613,Acalypha ecuadorica,,Acalypha,ecuadorica,,,,,,1.0
29613,29614,Acalypha eggersii,,Acalypha,eggersii,,,,,,1.0
35038,35039,Acalypha grisebachiana,,Acalypha,grisebachiana,,,,,,0.0
39532,39533,Acalypha guineensis,,Acalypha,guineensis,,,,,,1.0
21739,21740,Acalypha hontauyuensis,,Acalypha,hontauyuensis,,,,,,1.0
23121,23122,Acalypha lepinei,,Acalypha,lepinei,,,,,,1.0
38844,38845,Acalypha parvula,,Acalypha,parvula,,,,,,0.0
23122,23123,Acalypha raivavensis,,Acalypha,raivavensis,,,,,,1.0
25661,25662,Acalypha rubrinervis,,Acalypha,rubrinervis,,stringwood,,,,1.0
29614,29615,Acalypha schimpffii,,Acalypha,schimpffii,,,,,,1.0
22868,22869,Acalypha suirenbiensis,,Acalypha,suirenbiensis,,,,,,1.0
29615,29616,Acalypha tunguraguae,,Acalypha,tunguraguae,,,,,,1.0
33886,33887,Acalypha wilderi,,Acalypha,wilderi,,,,,,1.0
34959,34960,Acanthochlamys bracteata,,Acanthochlamys,bracteata,,芒苞草 mang bao cao,,,,1.0
