Clibadium alatum
Panax zingiberensis
Symphytum ibericum
Aspalathus calcarata
Cirsium pugnax
Pancheria robusta
Psephellus carthalinicus
Callerya neocaledonica
Crambe feuillei
Linaria pseudolaxiflora
Anthurium parambae
Silene nocteolens
Syagrus macrocarpa
Mikania andrei
Lemna yungensis
Aglaia tomentosa
Pepinia harlingii
Mellera menthiodora
Hooglandia ignambiensis
Cressa cretica
Amygdalus bucharica
Casearia staffordiae
Jatropha bullockii
Abarema rodriguesii
Oldenlandia sclerophylla
Barleria penelopeana
Eriosyce confinis
Rosa isaevii
Sorbus zolyomii
Ancistrorhynchus laxiflorus
Ditassa fontellae
Selenicereus grandiflorus
Spiranthes parksii
Sericanthe burundensis
Diaphananthe tanneri
Podocarpus confertus
Gyranthera darienensis
Cotoneaster cambricus
Aloe ballyi
Memecylon giganteum
Rytigynia australis
Coffea carrissoi
Pancheria minima
Phalaenopsis micholitzii
Lennea viridiflora
Echinodium setigerum
Tridactyle tanneri
Podocarpus madagascariensis
Lachemilla jamesonii
Rollinia calcarata
Egletes humifusa
Nectandra weddellii
Cnidoscolus fragrans
Echinocereus viridiflorus
Sorbus greenii
Hylocereus calcaratus
Justicia roseobracteata
Linociera albidiflora
Cladium mariscoides
Pachypodium baronii
Polylepis tomentella
Pouteria nudipetala
Metroxylon amicarum
Weinmannia stenocarpa
Narcissus longispathus
Lupinus angustifolius
Cecropia obtusifolia
Eugenia salamancana
Magnolia crassifolia
Dipterocarpus bourdilloni
Tristaniopsis lucida
Centaurea gadorensis
Cronquistianthus loxensis
Acanthopale decempedalis
Bidens cernua
Dioon caputoi
Rhoiptelea chiliantha
Casearia mauritiana
Araucaria muelleri
Arctopus dregei
Ozoroa reticulata
Tamarix canariensis
Chloroleucon tortum
Lycopodium madeirense
Glechoma hirsuta
Hopea centipeda
Peperomia buxifolia
Copiapoa esmeraldana
Euphorbia meuleniana
Memecylon hookeri
Pearsonia madagascariensis
Pentacalia hillii
Tournefortia astrotricha
Prionitis galapagensis
Quercus pauciradiata
Carex adelostoma
Mammillaria laui
Peperomia stenostachya
Brahea dulcis
Platytinospora buchholzii
Trichilia pittieri
Habenaria jaegeri
Mammillaria grahamii
Microtropis densiflora
Guzmania madisonii
Oryza glaberrima
Aloe monticola
